Scanner,Session,Copyright,family,Species,Genus,number,Collection,length,photo,scan lot,symbol,group filename,scan date,Month,Year,kV,uA,Filter,Detector,rotation,Voxel size,slices length,Scan Quality,isolated,fish only ,STL,who uploaded,when uploaded,spec. image,Comments,User1,User2,User3,Backup Drive ,oVert Tag#
Bruker Skyscan 1173,KassieKoryMax1,,Apteronotidae,Compsaraia samueli,Compsaraia,200485,ANSP,,Y,,hourglass,GymnoCan11,11/27/16,11,2016,70,114,1mm Al,2K,0.2,24.6,,,,,,,,,,,,,,
Toshiba Aquilion 64,Mara,,Sphyrnidae,Eusphyra blochii,Eusphyra,,,,,,,,10/15/07,10,2007,,,,,,,,,,,,,,,Medical scanner table visible in slices ,,,,,
Toshiba Aquilion 64,Mara,,Sphyrnidae,Sphyrna lewini,Sphyrna,,,,,,,,3/15/08,3,2008,,,,,,,,,,,,,,,Medical scanner table visible in slices ,,,,,
Toshiba Aquilion 64,Mara,,Sphyrnidae,Sphyrna mokarran,Sphyrna,,,,,,,,12/6/08,12,2008,,,,,,,,,,,,,,,Medical scanner table visible in slices ,,,,,
Toshiba Aquilion 64,Mara,,Sphyrnidae,Sphyrna tudes,Sphyrna,,,,,,,,8/8/09,8,2009,,,,,,,,,,,,,,,Medical scanner table visible in slices ,,,,,
Toshiba Aquilion 64,Mara,,Sphyrnidae,Sphyrna zygaena,Sphyrna,,,,,,,,12/5/09,12,2009,,,,,,,,,,,,,,,Medical scanner table visible in slices ,,,,,
GE eXplore CT-120,Farina,,Cottidae,Dasycottus setiger,Dasycottus,CUMV 97976,CUMV,,,,,,9/1/14,9,2014,,,,,,50,,,,,,A. von Hagel,6/18/2017,,,,,,,
GE eXplore CT-120,Farina,,Cottidae,Leptocottus armatus,Leptocottus,CUMV 98019,CUMV,,,,,,10/1/14,10,2014,,,,,,49.92,,,,,,A. von Hagel,6/18/2017,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Agonopsis chiloensis,Agonopsis,UW 115192,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,A. von Hagel,6/12/17,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Agonopsis vulsa,Agonopsis,UW 155980,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,Alifaire Noreen,8/8/2017,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Anoplagonus inermis,Anoplagonus,UW 155984,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,Alifaire Noreen,8/9/2017,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Aspidophoroides monopterygius,Aspidophoroides,KU 28325,KU,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,Alex Cheroske,6/11/2017,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Aspidophoroides olrikii,Aspidophoroides,UW 153853,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,A. von Hagel,6/13/17,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Bathyagonus alascanus,Bathyagonus,,,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,Adam,,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Bathyagonus infraspinatus,Bathyagonus,UW 110164,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,Adam,,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Bathyagonus nigripinnis,Bathyagonus,UW155975,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,Adam,,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Bathyagonus pentacanthus,Bathyagonus,KU 28021,KU,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,Adam,,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Bothragonus occidentalis,Bothragonus,UW 43787,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,Adam,,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Bothragonus swanii,Bothragonus,UW155978,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,Adam,,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Brachyopsis segaliensis,Brachyopsis,UW 44794,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,Adam,,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Chesnonia verrucosa,Chesnonia,UW 28191,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,Adam,,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Hypsagonus quadricornis,Hypsagonus,UW 111943,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,A. von Hagel,6/13/2017,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Xeneretmus latifrons,Xeneretmus,UW 155979,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,Alifaire Noreen,8/9/2017,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Xeneretmus leiops,Xeneretmus,UW 112546,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,A. von Hagel,6/14/2017,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Xeneretmus triacanthus,Xeneretmus,UW 28820,UW,,,,None,,1/1/15,1,2015,,,,,,,,High,Yes,,,A. von Hagel,7/6/2017,,,,,,,
ScanCo 10,ChrisMartin,,Cyprinodontidae,Cyprinodon variegata,Cyprinodon,UnCat,CM personal collection,,,,,,1/1/15,1,2015,,,,,,15,,,,,,,,,,,,,,
ScanCo 10,ChrisMartin,,Cyprinodontidae,Cyprinodon desquamata,Cyprinodon,UnCat,CM personal collection,,,,,,1/1/15,1,2015,,,,,,15,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Serrasalmidae,Serrasalmus spilopleura,Serrasalmus,108507,FMNH,,Y,,heart,PiranhaCan14,1/1/15,,,,,,,,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Katie Stanchak,,Thyropteridae,Thyroptera tricolor,Thyroptera,158246,MVZ,,,,,Thyroptera_tricolor_MVZ158246_091217,1/1/15,9,2017,60,133,1mm Al,2K,0.25,17.06,,,,,,,,,,,,,,
Bruker Skyscan 1173,Graham,,Syngnathidae,Idiotropicis larsonae,Idiotropicis,GCRL V84:21518,CAS,,,,,SynCan 19,1/1/15,,,,,,,,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Graham,,Syngnathidae,Hippocampus histrix,Hippocampus,HH-0825,CAS,,,,,SynCan 19,1/1/15,,,,,,,,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Graham,,Syngnathidae,Hippocampus minotaur,Hippocampus,CAS 13403,CAS,,,,,SynCan 19,1/1/15,,,,,,,,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Ostraciidae,Ostracion cubicus,Ostracion,UW 11205,Burke,,Y,,$,Ostraciid3v2,1/1/15,11,2017,65,123,1mm Al,2k,0.3,25.9,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Ostraciidae,Ostracion schlemmeri,Ostracion,UW 3626,Burke,,Y,,L Cutout,Ostraciid3v2,1/1/15,11,2017,65,123,1mm Al,2k,0.3,25.9,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Dasyatidae,Dasyatis margarita,Dasyatis,176852,FLMNH,,Y,,big V,Dasyatid5_FLMNH,1/1/15,10,2017,65,123,1mm Al,2k,0.3,29.4,,,,,,,,,,,,,,
Bruker Skyscan 1173,Kolmann,,Dasyatidae,Dasyatis margaritella,Dasyatis,221361,FLMNH,,Y,,stubby x,Dasyatid5_FLMNH,1/1/15,10,2017,65,123,1mm Al,2k,0.3,29.4,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella orthos,Sternarchella,ANSP,200215,,N,,T,Can8B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella orthos,Sternarchella,ANSP,200215,,N,,Y,Can8B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella orthos,Sternarchella,ANSP,200215,,N,,X,Can8B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella orthos,Sternarchella,ANSP,200215,,N,,A,Can8B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella orthos,Sternarchella,ANSP,200215,,N,,F,Can8B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella orthos,Sternarchella,ANSP,200555,,N,,X,Can9B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella orthos,Sternarchella,ANSP,200555,,N,,Q,Can9B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella orthos,Sternarchella,ANSP,200555,,N,,T,Can9B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella orthos,Sternarchella,ANSP,200215,,N,,Z,Can9B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Blenniidae,Alticus arnoldorum,Alticus,JFBM,46349,,N,,T,Can10B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella orthos,Sternarchella,ANSP,200215,,N,,,Can10B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella orthos,Sternarchella,ANSP,200215,,N,,V,Can10B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella orthos,Sternarchella,ANSP,200215,,N,,P,Can10B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Blenniidae,Coryphoblennius galesta,Coryphoblennius,JFBM,48573,,N,,I,Can10B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Blenniidae,Coryphoblennius galesta,Coryphoblennius,JFBM,48573,,N,,S,Can10B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Ictaluridae,Pylodictus olivaris,Pylodictus,JFBM,44640,,N,,,Can11B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella calhamazon,Sternarchella,,FD2017-13,,N,,X,Can12B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella calhamazon,Sternarchella,,FD2017-13,,N,,L,Can12B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella calhamazon,Sternarchella,,FD2017-13,,N,,M,Can12B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella calhamazon,Sternarchella,,FD2017-13,,N,,A,Can12B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella calhamazon,Sternarchella,,FD2017-13,,N,,T,Can12B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella calhamazon,Sternarchella,,FD2017-13,,N,,Z,Can12B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella calhamazon,Sternarchella,,FD2017-13,,N,,Q,Can12B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella calhamazon,Sternarchella,,FD2015-24,,N,,Y,Can13B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella calhamazon,Sternarchella,,FD2015-24,,N,,V,Can13B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella calhamazon,Sternarchella,,FD2015-24,,N,,R,Can13B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella calhamazon,Sternarchella,,FD2015-24,,N,,P,Can13B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella calhamazon,Sternarchella,,FD2015-24,,N,,N,Can13B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella calhamazon,Sternarchella,,FD2015-24,,N,,M,Can13B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Blenniidae,Omobranchus fasciolatoceps,Omobranchus,JFBM,47139,,N,,T,Can14B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Blenniidae,Omobranchus fasciolatoceps,Omobranchus,JFBM,47139,,N,,X,Can14B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Blenniidae,Plagiotremus laudandus,Plagiotremus,JFBM,47084,,N,,S,Can14B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Blenniidae,Alticus saliens,Alticus,JFBM,47823,,N,,Z,Can14B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Blenniidae,Entomacrodus stellifer,Entomacrodus,JFBM,47142,,N,,Y,Can14B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Blenniidae,Entomacrodus stellifer,Entomacrodus,JFBM,47142,,N,,J,Can14B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Blenniidae,Ecsenius stictus,Ecsenius,JFBM,47288,,N,,L,Can14B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Colubridae,Stegonotus mulleri,Stegonotus,LSUMZ,41802,,Y,,,Can15B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Colubridae,Stegonotus modestus,Stegonotus,LSUMZ,92330,,Y,,5 (bottom),Can16B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Colubridae,Stegonotus cucullatus,Stegonotus,LSUMZ,94379,,Y,,P,Can16B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Porotergus gimbeli,Porotergus,,FD2017-37,,N,,P,Can17B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchogiton nattereri,Sternarchogiton,ANSP,200513,,N,,T,Can17B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella duccis,Sternarchella,ANSP,200514,,N,,K,Can17B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella orthos,Sternarchella,ANSP,200215,,N,,F,Can17B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella orthos,Sternarchella,,FD2017-36,,N,,V,Can17B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella orthos,Sternarchella,,FD2017-36,,N,,M,Can17B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella orthos,Sternarchella,ANSP,200555,,N,,S,Can18B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella orthos,Sternarchella,ANSP,200555,,N,,R,Can18B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella orthos,Sternarchella,ANSP,200555,,N,,E,Can18B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Apteronotus bonapartii,Apteronotus,,FD2017-36,,N,,B,Can18B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Apteronotus bonapartii,Apteronotus,,FD2017-36,,N,,V,Can18B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Apteronotus bonapartii,Apteronotus,,FD2017-36,,N,,F,Can18B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Apteronotus bonapartii,Apteronotus,,FD2017-36,,N,,},Can18B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Apteronotidae,Sternarchella orthos,Sternarchella,,FD2017-36,,N,,K,Can19B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Acropomatidae,Synagrops japonicus,Synagrops,JFBM,4870,,N,,T,Can19B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Evans,,Acropomatidae,Synagrops japonicus,Synagrops,JFBM,4870,,N,,N,Can19B,1/1/15,11,2017,65,123,1mm Al,2k,0.3,,,,,,,,,,,,,,,
Xradia Versa XRM-520,Farina,,Cottidae,Artedius fenestralis,Artedius,CUMV 98036,CUMV,,,,,,6/1/15,6,2015,,,,,,25,,,,,,A. von Hagel,6/15/2017,,,,,,,
Xradia Versa XRM-520,Farina,,Cottidae,Artedius harringtoni,Artedius,CUMV 98033,CUMV,,,,,,6/1/15,6,2015,,,,,,25.63,,,,,,A. von Hagel,6/15/2017,,,,,,,
Xradia Versa XRM-520,Farina,,Cottidae,Artedius lateralis,Artedius,CUMV 98035,CUMV,,,,,,6/1/15,6,2015,,,,,,24,,,,,,A. von Hagel,6/15/2017,,,,,,,
GE eXplore CT-120,Farina,,Cottidae,Blepsias cirrhosus,Blepsias,CUMV 98024,CUMV,,,,,,6/1/15,6,2015,,,,,,49.92,,,,,,A. von Hagel,6/15/2017,,,,,,,
Xradia Versa XRM-520,Farina,,Cottidae,Cottus cognatus,Cottus,CUMV 78131,CUMV,,,,,,6/1/15,6,2015,,,,,,14,,,,,,A. von Hagel,6/15/2017,,,,,,,
Xradia Versa XRM-520,Farina,,Cottidae,Jordania zonope,Jordania,CUMV 97998,CUMV,,,,,,6/1/15,6,2015,,,,,,22.8,,,,,,A. von Hagel,6/18/2017,,,,,,,
Xradia Versa XRM-520,Farina,,Liparidae,Liparis florae,Liparis,CUMV 97986,CUMV,,,,,,6/1/15,6,2015,,,,,,20,,,,,,Alifaire Noreen,6/19/2017,,,,,,,
Xradia Versa XRM-520,Farina,,Liparidae,Liparis dennyi,Liparis,CUMV 97986,CUMV,,,,,,6/1/15,6,2015,,,,,,24,,,,,,Alifaire Noreen,6/19/2017,,,,,,,
Xradia Versa XRM-520,Farina,,Cottidae,Rhamphocottus richardsonii,Rhamphocottus,CUMV 54050,CUMV,,,,,,7/1/15,7,2015,,,,,,18.32,,,,,,A. von Hagel,6/18/2017,,,,,,,
Xradia Versa XRM-520,Farina,,Cottidae,Oligocottus maculosus,Oligocottus,CUMV 98029,CUMV,,,,,,7/1/15,7,2015,,,,,,16.9,,,,,,A. von Hagel,6/18/2017,,,,,,,
Nikon Metrology (X-Tek) HMXST225,Kolmann,,Urotrygonidae,Urotrygon nana,Urotrygon,ROM 66837,ROM,,,,,,8/1/15,8,2015,,,,,,,,,,,,,,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Podothecus accipenserinus,Podothecus,UW 155986,UW,,,,None,,9/28/15,9,2015,,,,,,,,High,Yes,,,Adam,,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Odontopyxis trispinosa,Odontopyxis,,UW,,,,None,,10/1/15,10,2015,,,,,,,,High,Yes,,,Adam,,,,,,,,
Bruker Skyscan 1173,Adam,,Blenniidae,Rhabdoblennius nitidis,Rhabdoblennius,JFBM 46728,JFBM,,,,,,10/15/15,10,2015,,,,,,,,,,,,A. von Hagel,6/14/2017,,,,,,CT NAS Backup 1,
Bruker Skyscan 1173,Adam,,Blenniidae,Parablennius yatabei,Parablennius,JFBM 47154,JFBM,,,,,,10/30/15,10,2015,,,,,,,,,,,,A. von Hagel,6/14/2017,,,,,,CT NAS Backup 1,
Bruker Skyscan 1173,Adam,,Blenniidae,Andamia tetradactylus,Andamia,JFBM 47103,JFBM,,,,,,11/2/15,11,2015,,,,,,,,,,,,,,,,,,,CT NAS Backup 1,
Bruker Skyscan 1173,Adam,,Blenniidae,Meiacanthus atrodorsalis,Meiacanthus,JFBM 46365,JFBM,,,,,,11/3/15,11,2015,,,,,,,,,,,,Alifaire Noreen,6/19/2017,,,,,,CT NAS Backup 1,
Bruker Skyscan 1173,Adam,,Blenniidae,Ecsenius namiyei,Ecsenius,JFBM 46724,JFBM,,,,,,11/9/15,11,2015,,,,,,,,,,,,Alifaire Noreen,6/19/2017,,,,,,CT NAS Backup 1,
Bruker Skyscan 1173,Adam,,Liparidae,Lopholiparis flerxi,Lopholiparis,UW 047868,UW,,,,,,11/9/15,11,2015,,,,,,,,,,,,Alifaire Noreen,6/19/2017,,,,,,,
Bruker Skyscan 1173,Alicia1,,Zoarcidae,Bothrocara nyx,Bothrocara,UW 111798,UW,,,,,,11/10/15,11,2015,60,110,1mm Al,2K,0.23,9.9,,,,,,Alifaire Noreen,8/7/2017,,,,,,,
Bruker Skyscan 1173,Alicia2,,Liparidae,Lopholiparis flerxi,Lopholiparis,UW 47868,UW,,,,,,11/10/15,11,2015,60,110,1mm Al,2K,0.2,6,,,,,,Alifaire Noreen,8/7/2017,,,,,,,
Bruker Skyscan 1173,Adam,,Blenniidae,Plagiotremus tapeinosoma,Plagiotremus,JFBM 47028,JFBM,,,,,,11/13/15,11,2015,,,,,,,,,,,,A. von Hagel,6/14/2017,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Pallasina barbata,Pallasina,KU18127,KU,,,,None,,11/21/15,11,2015,,,,,,,,High,Yes,,,A. von Hagel,6/13/2017,,,,,,,
Bruker Skyscan 1173,Adam,,Gobiesocidae,Lepadogaster lepadogaster,Lepadogaster,TCWC 16777.01,TCWC,,,,,,1/16/16,1,2016,,,,,,,,,,,,Alifaire Noreen,6/19/2017,,,,,,,
Bruker Skyscan 1173,Adam,,Gobiesocidae,Gouania wildenowi,Gouania,TCWC 16777.03,TCWC,,,,,,1/18/16,1,2016,,,,,,9.9,,,,,,A. von Hagel,6/19/2016,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Leptagonus decagonus,Leptagonus,UW 151331,UW,,,,,,2/1/16,2,2016,,,,,,,,,,,,A. von Hagel,6/14/2017,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Bothragonus occidentalis,Bothragonus,UW 043787,UW,,,,,,2/5/16,2,2016,,,,,,,,,,,,A. von Hagel,6/13/2017,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Brachyopsis segaliensis,Brachyopsis,UW 044794,UW,,,,,,2/5/16,2,2016,,,,,,,,,,,,A. von Hagel,6/13/17,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Leptagonus decagonus,Leptagonus,UW 28590,UW,,,,None,,2/5/16,2,2016,,,,,,,,High,Yes,,,Adam,,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Percis japonica,Percis,UW 045711,UW,,,,,,2/10/16,2,2016,,,,,,,,,,,,A. von Hagel,6/13/2017,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Podothecus veternus,Podothecus,UW 028166,UW,,,,,,2/15/16,2,2016,,,,,,,,,,,,A. von Hagel,6/14/2017,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Occella dodecaedron,Occella,UW 113599,UW,,,,None,,2/15/16,2,2016,,,,,,,,High,Yes,,,A. von Hagel,6/13/2017,,,,,,,
Bruker Skyscan 1173,Adam,,Agonidae,Percis japonica,Percis,UW 45711,UW,,,,None,,2/20/16,2,2016,,,,,,,,High,Yes,,,Adam,,,,,,,,
Bruker Skyscan 1173,Alicia2,,Liparidae,Prognatholiparis ptychomandibularis,Prognatholiparis,UW 42341,UW,,,,,,3/24/16,3,2016,60,110,1mm Al,2K,0.3,13.1,,,,,,Alifaire Noreen,8/7/2017,,,,,,,
Bruker Skyscan 1173,Alicia1,,Liparidae,Allocareproctus ungak,Allocareproctus,UW 111933,UW,,,,,,3/25/16,3,2016,60,110,1mm Al,2K,0.3,13.1,,,,,,Alifaire Noreen,8/7/2017,,,,,,,
Bruker Skyscan 1173,Alicia2,,Liparidae,Paraliparis bullacephalus,Paraliparis,UW 42325,UW,,,,,,3/27/16,3,2016,60,110,1mm Al,2K,0.3,10.6,,,,,,Alifaire Noreen,8/7/2017,,,,,,,
Bruker Skyscan 1173,Alicia2,,Liparidae,Paraliparis penicillus,Paraliparis,UW 119193,UW,,,,,,3/27/16,3,2016,60,110,1mm Al,2K,0.3,10.6,,,,,,Alifaire Noreen,8/7/2017,,,,,,,
Bruker Skyscan 1173,Alicia2,,Liparidae,Careproctus faunus,Careproctus,UW 111867,UW,,,,,,3/28/16,3,2016,60,110,1mm Al,2K,0.3,15.6,,,,,,Alifaire Noreen,8/7/2017,,,,,,,
Bruker Skyscan 1173,Alicia2,,Osmeridae,Hypomesus chishimaensis,Hypomesus,UW 417000,UW,,,,,,3/28/16,3,2016,60,110,1mm Al,2K,0.4,10.4,,,,,,Alifaire Noreen,8/7/2017,,,,,,,
