Dens,Suc.dens
0.263923436,0
1.743667692,9.09
0.007169668,0
2.158667077,0
0.811372362,0
2.111504532,4.545
0.137760074,0
11.40970461,40.91
0,0
0.016227533,0
0.174270022,0
2.956909746,9.09
0.013389817,0
