USE_LICENSE_URL,GUID,SCIENTIFIC_NAME,COORDINATEUNCERTAINTYINMETERS,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,DEC_LAT,DEC_LONG
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:66417","Buteo jamaicensis harlani","3218.688","United States","Alaska","Mile 20, Richardson Trail","28 Sep 1930","61.1123888889","-145.8102777778"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:21353","Accipiter gentilis gentilis","","Hungary","","Torda","23 Feb 1890","",""
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:77813","Accipiter gentilis atricapillus","4707.3312","United States","Wyoming","0.5 mi W Green River Lakes","31 Aug 1939","43.2888","-109.84658"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:106736","Accipiter gentilis gentilis","4519.037952","United States","Washington","Port Townsend","20 Apr 1886","48.1172","-122.7592"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:94996","Accipiter gentilis schvedowi","8265","China","Heilongjiang Province","Taiyakow Station, China East Railway","2 Mar 1939","45.5","127.1"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:127215","Accipiter gentilis atricapillus","6437.376","United States","Massachusetts","Harvard","22 Oct 1925","42.5","-71.58"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:90944","Buteo regalis","","","","no specific locality recorded","3 Dec 1931","",""
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:136571","Buteo buteo japonicus","2594.262528","Korea","Kangwon Province","2 mi NNE Kangnung","29 Nov 1957","37.78235","128.91009"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:154332","Buteo buteo japonicus","121142","Korea","Kyonggi Province","Kanghwa-Do","1 Jan 1965","37.5","128"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:135022","Buteo buteo japonicus","20231.063424","Korea","Kyonggi Province","7-8 mi E Seoul","28 Oct 1956","37.5667","127.14573"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:99667","Accipiter cooperii","56932.153344","Canada","British Columbia","Okanagan","18 May 1927","49.4167","-120"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:144650","Accipiter cooperii","","United States","New Jersey","Fort Loc","April 1891","",""
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:97421","Accipiter cooperii","3246.046848","United States","Ohio","North Olmsted","October 1939","41.4156","-81.9236"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:160781","Accipiter bicolor bicolor","6859","Peru","Cajamarca","2.5 mi S Point Tamborapa","27 Aug 1970","-5.43617","-78.76667"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:9095","Accipiter striatus velox","1188.91","United States","Nevada","Big Creek, Pine Forest Range","20 Jul 1909","41.67245","-118.64785"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:154135","Elanus axillaris","935","Australia","Australian Capital Territory","Ginninderra","14 Jul 1964","-35.2","149.08333"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:4953","Accipiter gentilis atricapillus","2534","Canada","Yukon Territory","Yukon River, Forty-Mile","10 Oct 1900","64.42361","-140.53194"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:68217","Aquila chrysaetos canadensis","2199.973248","United States","California","350Yds S Beaver Creek, 450Yds N Klamath River","25 Jan 1936","41.8737453","-122.818508"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:144724","Aquila chrysaetos canadensis","1149.071616","United States","California","10 mi S Bodega","31 Oct 1925","38.2006089","-122.9732291"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:73294","Ictinia mississippiensis","5592.4704","United States","Oklahoma","Cimarron River, 6 mi SW Ringwood","19 Aug 1936","36.31747","-98.32109"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:139274","Ictinia mississippiensis","12441.838464","United States","Georgia","2 mi SE MacOm","6 Jul 1959","32.8194","-83.6096"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:144725","Aquila chrysaetos canadensis","6878.336256","United States","California","4 mi NE Moraga","2 Apr 1926","37.870024","-122.0647821"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:144726","Aquila chrysaetos canadensis","1660.843008","United States","California","Moraga Valley","3 Jul 1923","37.8305356","-122.127884"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:144727","Aquila chrysaetos canadensis","6878.336256","United States","California","4 mi NE Moraga","2 Apr 1926","37.870024","-122.0647821"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:99644","Accipiter gentilis atricapillus","3369.966336","Canada","British Columbia","Atlin","25 Aug 1924","59.5667","-133.7"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:40364","Circus hudsonius","45061.632","United States","California","14 mi from Firebaugh","3 Jan 1920","36.923846","-120.235058"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:120044","Milvus migrans lineatus","5064","Japan","Hyogo Prefecture","Nishinomiya, Honshu","27 Nov 1949","34.73917","135.34861"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:152795","Harpagus bidentatus bidentatus","3843","Trinidad and Tobago","Victoria Parish","Cat's Hill, Trinidad","10 Apr 1964","10.1833","-61.2167"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:51732","Accipiter striatus velox","1260.116352","United States","California","S Face Inskip Hill","23 Dec 1927","40.3303351","-121.9420806"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:41248","Buteo jamaicensis calurus","30","United States","California","10 mi W Madera","12 Dec 1920","36.952771","-120.239977"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:88401","Accipiter cooperii","3406.981248","United States","California","2 mi SE Beegum","14 Jun 1943","40.32421","-122.82817"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:99730","Accipiter striatus velox","3973.470336","Canada","British Columbia","Okanagan Landing","30 Nov 1942","50.2333","-119.35"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:99731","Accipiter striatus velox","2282.049792","Canada","British Columbia","Shuswap Falls","22 May 1918","50.3","-118.8167"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:99721","Accipiter striatus velox","56932.153344","Canada","British Columbia","Okanagan","9 Aug 1909","49.4167","-120"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:16754","Accipiter striatus velox","1152.290304","United States","California","Cuddeback","19 Sep 1910","40.5216","-124.0327"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:118442","Accipiter striatus velox","5484.644352","United States","California","Willow Creek","29 Aug 1949","40.9396583","-123.6278827"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:14085","Accipiter striatus velox","3469.745664","United States","California","Warner Mts., Parker Creek","13 Jun 1910","41.4363981","-120.3442817"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:84718","Buteo lagopus sanctijohannis","3231.562752","United States","Washington","Colfax","25 Jan 1942","46.8803","-117.3633"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:173433","Buteo lagopus sanctijohannis","3630.680064","United States","California","2 mi S Hobart Mills","16 Dec 1938","39.37185","-120.18423"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:75101","Buteo jamaicensis borealis","3860.816256","United States","Arkansas","4 mi SE Bergman","21 Jan 1939","36.2738","-92.9569"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:44541","Accipiter cooperii","1609.344","United States","California","Berkeley, Cragmont","6 Oct 1924","37.8942433","-122.2650647"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:75112","Buteo jamaicensis borealis","6310.237824","United States","Arkansas","4 mi S Bergman","7 Feb 1939","36.2581","-93.0075"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:144706","Buteo lagopus sanctijohannis","30","United States","California","10 mi S Bishop","26 Dec 1925","37.225548","-118.34069"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:144704","Buteo lagopus sanctijohannis","428.085504","United States","Nevada","W side Ruby Lake, 3 mi S County line","19 Oct 1929","40.07","-115.55"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:69113","Buteo lagopus sanctijohannis","6298.972416","United States","Idaho","3 mi N Oakley","26 Dec 1935","42.2868","-113.8811"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:96854","Buteo rufofuscus augur","10576","Eritrea","","20 km from Decamera [=Dekemhare] on Gura road to Asmara","1 Jan 1943","15.07","39.0475"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:46878","Buteo lagopus sanctijohannis","10088.977536","United States","California","7 mi E Ravendale","3 Jan 1926","40.79823","-120.23207"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:75082","Buteo jamaicensis borealis","7472.184192","United States","Arkansas","5 mi S Bergman","26 Dec 1938","36.2436","-93.0075"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:136898","Buteo hemilasius","12364","Korea","Kyonggi Province","Seoul","1 Feb 1958","37.5667","127"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:144714","Buteo regalis","5310.8352","United States","California","5 mi SW Sycamore","26 Nov 1926","39.0882445","-121.9986457"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:94550","Buteo regalis","30","United States","California","16 mi E Madera","9 Dec 1945","37.012654","-119.792881"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:12218","Accipiter striatus velox","4197.169152","United States","California","San Bernardino Mts., Santa Ana River","23 Aug 1907","34.1838726","-116.8941709"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:52092","Accipiter striatus velox","","Mexico","Baja California","Colorado River, 20 mi S Pilot Knob","15 Oct 1927","32.579444","-114.7983333"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:53802","Aquila chrysaetos canadensis","3218.688","United States","California","2.5 mi E Santa Cruz","1924","36.9729519","-121.9536452"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:2656","Accipiter cooperii","3154","United States","California","San Jacinto Mts., Strawberry Valley","9 Jul 1908","33.74515","-116.706675"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:70433","Accipiter cooperii","5513.612544","United States","California","3 mi SE Redlands","28 Apr 1928","34.0247644","-117.1446908"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:49450","Pandion haliaetus carolinensis","804.672","United States","New York","Ram Island, Gardiner's Island","10 Jun 1926","41.07722","-72.28639"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:49452","Pandion haliaetus carolinensis","2011.68","United States","New York","Orient Point, Long Island","7 Aug 1926","41.15222","-72.25167"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:157040","Rupornis magnirostris griseocauda","7087.550976","Costa Rica","Guanacaste","2 mi E Finca Jimenez","15 Aug 1967","10.41667","-85.1706"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:94756","Accipiter striatus velox","5790","Mexico","Michoacan","6 km N Quiroga, Lake Patzcuaro","25 Feb 1945","19.7195427947","-101.52278"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:109335","Accipiter striatus velox","2293","Mexico","Guerrero","Chilpancingo de los Bravos","21 Mar 1943","17.5513888888","-99.5008333333"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:116398","Accipiter striatus suttoni","380","Mexico","Sinaloa","El Batel, 70 km NE Mazatlán","17 Oct 1946","23.46889","-105.83417"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:143667","Accipiter striatus suttoni","30699","Mexico","Chihuahua","Sierra El Nido, Arroyo El Mesteño","15 Aug 1961","29.3920969444","-106.8987177777"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:42048","Buteo jamaicensis harlani","31332.318336","Canada","British Columbia","Kispiox Valley, 23 mi N Hazelton","27 Aug 1921","55.5825","-127.6667"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:144667","Buteo jamaicensis calurus","6252.30144","United States","California","2 mi N Walnut Creek","14 May 1923","37.9299573","-122.0591194"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:74516","Buteo jamaicensis calurus","402.336","United States","California","1 mi S Grizzly Peak, Skyline Blvd., Berkeley","6 Oct 1935","37.8399461","-122.1954348"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:45066","Buteo platypterus platypterus","2265.956352","United States","Minnesota","Parker's Prarie","20 Sep 1914","46.1531","-95.3286"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:120434","Buteo brachyurus brachyurus","5000","Colombia","Huila","5 km N Villavieja","25 Feb 1949","3.3333333","-75.1833333"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:59151","Accipiter cooperii","304.8","United States","California","Alpine Creek Ranch","3 Jan 1932","37.302572","-122.257008"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:143666","Accipiter cooperii","30270","Mexico","Chihuahua","S edge Sierra La Mojina, 24 mi W Gallego","8 Sep 1961","29.82389","-106.7359053467"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:58364","Accipiter gentilis atricapillus","13428.366336","United States","Utah","10 mi E Kamas","13 Jul 1931","40.64306","-111.08975"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:137503","Accipiter nisus nisosimilis","12364","Korea","Kyonggi Province","South Gate Market, Seoul","21 Dec 1957","37.5667","127"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:155217","Rupornis magnirostris griseocauda","7956.596736","Mexico","Veracruz","3 mi NNE Catemaco","25 Apr 1965","18.4597222222","-95.0958333333"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:161433","Elanus leucurus majusculus","8864.266752","United States","California","Grizzly Island","19 Jun 1970","38.1514","-121.9717"
"http://creativecommons.org/publicdomain/zero/1.0/","MVZ:Bird:99679","Accipiter cooperii","56932.153344","Canada","British Columbia","Okanagan","19 Jul 1919","49.4167","-120"
