"","chron.control.depth","chron.control.thickness","chron.control.age","chron.control.age.young","chron.control.age.old","chron.control.control.type","chron.control.chron.control.id","meta.default","meta.name","meta.age.type","meta.age.model","meta.age.older","meta.age.younger","meta.chron.id","meta.date","access.date","parent.dataset.name","parent.dataset.id","parent.dataset.type"
"1",0,NA,-15,-15,0,"Core top",5143,FALSE,"NAPD 1","Radiocarbon years BP","linear interpolation",1090,-10,899,"1994-04-28T00:00:00",2018-10-05 20:42:17,NA,NA,NA
"2",15,10,80,40,120,"Biostratigraphic, pollen",5144,FALSE,"NAPD 1","Radiocarbon years BP","linear interpolation",1090,-10,899,"1994-04-28T00:00:00",2018-10-05 20:42:17,NA,NA,NA
